x,f(x)
0.000000,0.000000
0.005000,-0.000000
0.010000,0.000000
0.015000,-0.000000
0.020000,0.000000
0.025000,-0.000000
0.030000,0.000000
0.035000,-0.000000
0.040000,0.000000
0.045000,-0.000000
0.050000,0.000000
0.055000,-0.000000
0.060000,0.000001
0.065000,-0.000002
0.070000,0.000006
0.075000,-0.000015
0.080000,0.000032
0.085000,-0.000056
0.090000,0.000070
0.095000,-0.000033
0.100000,-0.000086
0.105000,0.000223
0.110000,-0.000173
0.115000,-0.000178
0.120000,0.000406
0.125000,0.000108
0.130000,-0.000666
0.135000,-0.000287
0.140000,0.000996
0.145000,0.001255
0.150000,-0.000530
0.155000,-0.003191
0.160000,-0.004173
0.165000,-0.000909
0.170000,0.008384
0.175000,0.024611
0.180000,0.048017
0.185000,0.078441
0.190000,0.115480
0.195000,0.158573
0.200000,0.207047
0.205000,0.260142
0.210000,0.317018
0.215000,0.376781
0.220000,0.438487
0.225000,0.501162
0.230000,0.563820
0.235000,0.625471
0.240000,0.685143
0.245000,0.741896
0.250000,0.794833
0.255000,0.843121
0.260000,0.885998
0.265000,0.922787
0.270000,0.952909
0.275000,0.975888
0.280000,0.991362
0.285000,0.999087
0.290000,0.998941
0.295000,0.990926
0.300000,0.975169
0.305000,0.951919
0.310000,0.921541
0.315000,0.884518
0.320000,0.841421
0.325000,0.792967
0.330000,0.739827
0.335000,0.683038
0.340000,0.623150
0.345000,0.561546
0.350000,0.498924
0.355000,0.435957
0.360000,0.374702
0.365000,0.315035
0.370000,0.257698
0.375000,0.205059
0.380000,0.157545
0.385000,0.114289
0.390000,0.076217
0.395000,0.045836
0.400000,0.024642
0.405000,0.011829
0.410000,0.005086
0.415000,0.001968
0.420000,0.000689
0.425000,0.000220
0.430000,0.000064
0.435000,0.000017
0.440000,0.000004
0.445000,0.000001
0.450000,0.000000
0.455000,0.000000
0.460000,0.000000
0.465000,0.000000
0.470000,0.000000
0.475000,0.000000
0.480000,0.000000
0.485000,0.000000
0.490000,0.000000
0.495000,0.000000
0.500000,0.000000
0.505000,0.000000
0.510000,0.000000
0.515000,0.000000
0.520000,0.000000
0.525000,0.000000
0.530000,0.000000
0.535000,0.000000
0.540000,0.000000
0.545000,0.000000
0.550000,0.000000
0.555000,0.000000
0.560000,0.000000
0.565000,0.000000
0.570000,0.000000
0.575000,0.000000
0.580000,0.000000
0.585000,0.000000
0.590000,0.000000
0.595000,0.000000
0.600000,0.000000
0.605000,0.000000
0.610000,0.000000
0.615000,0.000000
0.620000,0.000000
0.625000,0.000000
0.630000,0.000000
0.635000,0.000000
0.640000,0.000000
0.645000,0.000000
0.650000,0.000000
0.655000,0.000000
0.660000,0.000000
0.665000,0.000000
0.670000,0.000000
0.675000,0.000000
0.680000,0.000000
0.685000,0.000000
0.690000,0.000000
0.695000,0.000000
0.700000,0.000000
0.705000,0.000000
0.710000,0.000000
0.715000,0.000000
0.720000,0.000000
0.725000,0.000000
0.730000,0.000000
0.735000,0.000000
0.740000,0.000000
0.745000,0.000000
0.750000,0.000000
0.755000,0.000000
0.760000,0.000000
0.765000,0.000000
0.770000,0.000000
0.775000,0.000000
0.780000,0.000000
0.785000,0.000000
0.790000,0.000000
0.795000,0.000000
0.800000,0.000000
0.805000,0.000000
0.810000,0.000000
0.815000,0.000000
0.820000,0.000000
0.825000,0.000000
0.830000,0.000000
0.835000,0.000000
0.840000,0.000000
0.845000,0.000000
0.850000,0.000000
0.855000,0.000000
0.860000,0.000000
0.865000,0.000000
0.870000,0.000000
0.875000,0.000000
0.880000,0.000000
0.885000,0.000000
0.890000,0.000000
0.895000,0.000000
0.900000,0.000000
0.905000,0.000000
0.910000,0.000000
0.915000,0.000000
0.920000,0.000000
0.925000,0.000000
0.930000,0.000000
0.935000,0.000000
0.940000,0.000000
0.945000,0.000000
0.950000,0.000000
0.955000,0.000000
0.960000,0.000000
0.965000,0.000000
0.970000,0.000000
0.975000,0.000000
0.980000,0.000000
0.985000,0.000000
0.990000,0.000000
0.995000,0.000000
1.000000,0.000000
